"Name","Position","Draft","RUSH","RUSHYDS","RUSHAVG","RUSHTD","TAR","REC","RECYDS","RECAVG","RECTD","C","A","COMPYDS","COMPTD","INT","SCK","DINT","FR","DTD","PA","YA","1-39A","1-39C","40-49A","40-49C","50+A","50+C","TOTA","TOTC","XPA","XPC","PTS","TEAM"
"Le'Veon Bell","RB",1,290.0,1361.0,4.7,"--","--",83.0,854.0,"--",3.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","272","--"
"Adrian Peterson","RB",2,21.0,75.0,3.6,"--","--",2.0,18.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","8","--"
"Eddie Lacy","RB",3,246.0,1139.0,4.6,"--","--",42.0,427.0,"--",4.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","216","--"
"Jamaal Charles","RB",4,206.0,1033.0,5.0,"--","--",40.0,291.0,"--",5.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","197","--"
"Marshawn Lynch","RB",5,280.0,1306.0,4.7,"--","--",37.0,367.0,"--",4.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","253","--"
"Antonio Brown","WR",6,4.0,13.0,"--",0.0,182.0,129.0,1698.0,13.2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","251","--"
"C.J. Anderson","RB",7,179.0,849.0,4.7,"--","--",34.0,324.0,"--",2.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","167","--"
"Matt Forte","RB",8,266.0,1038.0,3.9,"--","--",102.0,808.0,"--",4.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","231","--"
"DeMarco Murray","RB",9,393.0,1845.0,4.7,"--","--",57.0,416.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","282","--"
"Demaryius Thomas","WR",10,0.0,0.0,"--",0.0,184.0,111.0,1619.0,14.6,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","223","--"
"LeSean McCoy","RB",11,314.0,1319.0,4.2,"--","--",28.0,155.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","158","--"
"Rob Gronkowski","TE",12,0.0,0.0,"--",0.0,130.0,82.0,1124.0,13.7,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","178","--"
"Dez Bryant","WR",13,0.0,0.0,"--",0.0,138.0,88.0,1320.0,15.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","221","--"
"Jeremy Hill","RB",14,222.0,1124.0,5.1,"--","--",27.0,215.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","171","--"
"Odell Beckham Jr.","WR",15,7.0,35.0,"--",0.0,132.0,91.0,1305.0,14.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","197","--"
"Julio Jones","WR",16,1.0,1.0,"--",0.0,164.0,104.0,1593.0,15.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","183","--"
"Calvin Johnson","WR",17,0.0,0.0,"--",0.0,128.0,71.0,1077.0,15.2,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","149","--"
"A.J. Green","WR",18,2.0,2.0,"--",0.0,116.0,69.0,1041.0,15.1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","132","--"
"Randall Cobb","WR",19,11.0,37.0,"--",0.0,126.0,91.0,1287.0,14.1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","191","--"
"Aaron Rodgers","QB",20,5.0,43.0,"--",269.0,"--","--","--","--","--",341.0,"--",520.0,"--",38.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","342","--"
"Alshon Jeffery","WR",21,6.0,33.0,"--",0.0,145.0,85.0,1133.0,13.3,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","167","--"
"T.Y. Hilton","WR",22,2.0,20.0,"--",0.0,130.0,82.0,1345.0,16.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","172","--"
"Mike Evans","WR",23,0.0,0.0,"--",0.0,124.0,68.0,1051.0,15.5,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","168","--"
"Mark Ingram","RB",24,226.0,964.0,4.3,"--","--",29.0,145.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","154","--"
"Andrew Luck","QB",25,16.0,64.0,"--",273.0,"--","--","--","--","--",380.0,"--",616.0,"--",40.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","336","--"
"Emmanuel Sanders","WR",26,8.0,44.0,"--",0.0,141.0,101.0,1404.0,13.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","192","--"
"DeAndre Hopkins","WR",27,0.0,0.0,"--",0.0,127.0,76.0,1210.0,15.9,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","146","--"
"Alfred Morris","RB",28,265.0,1074.0,4.1,"--","--",17.0,155.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","159","--"
"Lamar Miller","RB",29,216.0,1099.0,5.1,"--","--",38.0,275.0,"--",1.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","171","--"
"Brandin Cooks","WR",30,7.0,73.0,"--",1.0,70.0,53.0,550.0,10.4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","80","--"
"Jordan Matthews","WR",31,0.0,0.0,"--",0.0,105.0,67.0,872.0,13.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","127","--"
"Jimmy Graham","TE",32,0.0,0.0,"--",0.0,124.0,85.0,889.0,10.5,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","137","--"
"Carlos Hyde","RB",33,83.0,333.0,4.0,"--","--",12.0,68.0,"--",0.0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","52","--"
